platform,model,task_completion_rate,task_success_rate,mean_execution_time,total_tasks,SUCCESS,ERROR,NO_INVOICE,power
RTX A6000,qwen2.5_7b,1,0.8585858585858586,11.295401641414141,990,850,136,4,288.355
RTX A6000,functionary-small,1,0.8848484848484849,1.7346581383838384,990,876,6,108,288.355
RTX A6000,qwen2.5_32b,1,0.998989898989899,12.947548981818182,990,989,1,0,299.884
RTX A6000,functionary-medium,1,0.9414141414141414,18.798023612121213,990,932,11,47,284.641
RTX A6000,qwen2.5_72b,1,0.9949494949494949,68.13481918888888,990,985,4,1,284.641
